Code,1-Yield_C_Mean,2-BD_C_Mean,3-OC_C_Mean,4-N_C_Mean,5-Aggre_C_Mean,6-Infiltration_C_Mean,7-Ksat_C_Mean,8-Erosion_C_Mean,9-Runoff_C_Mean,10-Leaching_C_Mean,11-Weed_C_Mean,12-MBC_C_Mean,13-MBN_C_Mean
Temperate_Soybean_MTT_Medium,1.307477418,-0.5572856,5.309602796,0.805902091,32.24611406,79.54900938,59.50661399,-88.22584669,-84.36786563,-43.53955728,-26.9811157,38.40014344,22.70008752
Temperate_Soybean_OtherCC_Coarse,-0.644175272,-2.220951046,16.01128899,4.61860108,-9.866385219,36.85229279,66.70451392,-88.22584669,-84.36786563,-30.80461275,196.2407682,-11.39764258,6.230436949
Temperate_Soybean_OtherCC_Fine,-0.644175272,-1.462245122,-17.2720036,47.54124131,38.30692298,36.85229279,66.70451392,-88.22584669,-84.36786563,-68.30461275,196.2407682,3.709621562,-34.66315717
Temperate_Soybean_OtherCC_Medium,-0.644175272,0,1.078100412,-8.818589039,55.09511878,36.85229279,66.70451392,-88.22584669,-84.36786563,-69.6320639,196.2407682,52.17344948,53.72183674
Temperate_Vegetable_Grass_Coarse,-10.93840561,-1.504998018,12.16581244,8.822534288,8.171736441,81.22101984,61.33889721,-78.40193966,-73.28654419,-15.17357259,-33.75787347,22.99351257,36.69125254
Temperate_Vegetable_Grass_Fine,11.03070816,-1.357387314,4.798399438,7.802167548,13.80510209,43.0970714,61.33889721,-78.40193966,-73.28654419,-51.63794608,-33.75787347,22.89627052,36.3971849
Temperate_Vegetable_Grass_Medium,34.60518505,-1.177590226,5.316799147,-43.51137756,23.34413747,89.86325097,61.33889721,-78.40193966,-73.28654419,-77.73042931,-33.78649291,39.84265826,33.81484414
Temperate_Vegetable_Legume_Coarse,25.99941671,-8.01338302,4.482697725,13.38325667,6.254516731,87.57852993,133.1720878,-78.40193966,-73.28654419,-14.58227307,-68.0809699,-5.438623036,28.32180175
Temperate_Vegetable_Legume_Fine,-27.60504109,-5.562341211,36.62785861,38.88955369,41.38459218,67.48662114,133.1720878,-78.40193966,-73.28654419,-61.71054735,-68.0809699,16.76704658,20.05421216
Temperate_Vegetable_Legume_Medium,76.98952011,3.582065001,27.22749644,17.76675705,33.96588454,129.0155316,133.1720878,-78.40193966,-73.28654419,-32.05016109,-68.19947051,17.29495624,110.3772966
Temperate_Vegetable_MTT_Coarse,6.840332576,-2.278526504,20.40979247,12.32651028,21.38766744,79.54900938,59.50661399,-78.40193966,-73.28654419,-14.58227307,-26.9811157,19.06393397,25.69551282
Temperate_Vegetable_MTT_Fine,5.667468131,-4.359221671,15.38337018,13.06428635,38.30692298,79.54900938,59.50661399,-78.40193966,-73.28654419,-61.71054735,-26.9811157,79.67598496,17.85239718
Temperate_Vegetable_MTT_Medium,7.445752303,-0.085960077,9.51083035,0.805902091,32.24611406,79.54900938,59.50661399,-78.40193966,-73.28654419,-43.53955728,-26.9811157,38.40014344,22.70008752
Temperate_Vegetable_OtherCC_Coarse,5.947274023,-2.220951046,16.01128899,4.61860108,-9.866385219,36.85229279,66.70451392,-78.40193966,-73.28654419,-30.80461275,-28.91858126,-11.39764258,6.230436949
Temperate_Vegetable_OtherCC_Fine,5.947274023,-5.475318386,-9.776621123,71.77029028,38.30692298,36.85229279,66.70451392,-78.40193966,-73.28654419,-68.30461275,-28.91858126,3.709621562,-34.66315717
Temperate_Vegetable_OtherCC_Medium,7.408146997,3.522748501,25.34541527,-24.19367981,55.09511878,36.85229279,66.70451392,-78.40193966,-73.28654419,-69.6320639,-28.43416005,51.04545245,53.59250059
Temperate_Wheat_Grass_Coarse,-1.056406361,-0.080321105,7.032101927,2.715360886,8.171736441,81.22101984,25.49567237,-78.40193966,-73.28654419,-38.49692044,-33.83107756,5.963760664,13.92696065
Temperate_Wheat_Grass_Fine,-1.056406361,-1.357387314,4.798399438,7.802167548,13.80510209,43.0970714,25.49567237,-78.40193966,-73.28654419,-51.63794608,-33.83107756,22.89627052,36.3971849
Temperate_Wheat_Grass_Medium,-3.259246327,-1.936161992,3.876401764,-28.51129022,23.34413747,89.86325097,25.49567237,-78.40193966,-73.28654419,-77.73042931,-33.83107756,9.317651183,44.63664561
Temperate_Wheat_Legume_Coarse,8.585360403,-1.736721547,6.963635945,23.30664574,-9.338845005,87.57852993,133.1720878,-78.40193966,-73.28654419,-14.58227307,-92.19449395,-2.114738524,28.14456809
Temperate_Wheat_Legume_Fine,8.585360403,-5.562341211,36.62785861,38.88955369,41.38459218,67.48662114,133.1720878,-78.40193966,-73.28654419,-61.71054735,-92.19449395,16.76704658,20.05421216
Temperate_Wheat_Legume_Medium,8.585360403,-0.515622878,-1.393823753,17.76675705,33.96588454,129.0155316,133.1720878,-78.40193966,-73.28654419,-32.05016109,-92.19449395,17.29495624,110.3772966
Temperate_Wheat_MTT_Coarse,10.64428054,-1.340675835,9.036219183,19.0057258,17.87894253,79.54900938,59.50661399,-78.40193966,-73.28654419,-14.58227307,-26.9811157,35.15148159,25.69551282
Temperate_Wheat_MTT_Fine,-4.221046543,-3.155665582,33.93787537,28.57765294,38.30692298,79.54900938,59.50661399,-78.40193966,-73.28654419,-61.71054735,-26.9811157,25.14459398,17.85239718
Temperate_Wheat_MTT_Medium,12.91430499,-0.085960077,9.51083035,0.805902091,32.24611406,79.54900938,59.50661399,-78.40193966,-73.28654419,-43.53955728,-26.9811157,38.40014344,22.70008752
Temperate_Wheat_OtherCC_Coarse,4.249571731,-2.220951046,16.01128899,4.61860108,-9.866385219,36.85229279,66.70451392,-78.40193966,-73.28654419,-30.80461275,126.5911993,-11.39764258,6.230436949
Temperate_Wheat_OtherCC_Fine,4.249571731,-1.462245122,-17.2720036,47.54124131,38.30692298,36.85229279,66.70451392,-78.40193966,-73.28654419,-68.30461275,126.5911993,3.709621562,-34.66315717
Temperate_Wheat_OtherCC_Medium,11.5266966,-0.409734304,21.89596486,-8.818589039,55.09511878,36.85229279,66.70451392,-78.40193966,-73.28654419,-69.6320639,126.5911993,52.17344948,53.72183674
Tropical_Corn_Grass_Coarse,-81.40555245,2.286056807,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Corn_Grass_Fine,13.45057384,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Corn_Grass_Medium,-62.03233453,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Corn_Legume_Coarse,36.9998929,2.063053887,22.05931569,52.17724926,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.06226823,47.42251948,26.16028287
Tropical_Corn_Legume_Fine,15.08455584,-6.007061852,-2.242903118,8.353741288,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.2879436,47.42251948,26.16028287
Tropical_Corn_Legume_Medium,-2.330660735,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.2879436,47.42251948,26.16028287
Tropical_Corn_MTT_Coarse,20.77900895,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Corn_MTT_Fine,20.77900895,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Corn_MTT_Medium,20.77900895,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Corn_OtherCC_Coarse,3.645738383,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Corn_OtherCC_Fine,3.561563103,-5.531941512,8.429328561,3.927972786,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Corn_OtherCC_Medium,3.645738383,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_CS_Grass_Coarse,-48.67945928,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CS_Grass_Fine,-48.67945928,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CS_Grass_Medium,-48.67945928,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CS_Legume_Coarse,24.79495752,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_CS_Legume_Fine,24.79495752,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_CS_Legume_Medium,24.79495752,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_CS_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CS_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CS_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CS_OtherCC_Coarse,0.225962834,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_CS_OtherCC_Fine,0.225962834,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_CS_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_CSW_Grass_Coarse,-48.67945928,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CSW_Grass_Fine,-48.67945928,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CSW_Grass_Medium,-48.67945928,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CSW_Legume_Coarse,24.79495752,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_CSW_Legume_Fine,24.79495752,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_CSW_Legume_Medium,24.79495752,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_CSW_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CSW_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CSW_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_CSW_OtherCC_Coarse,0.225962834,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_CSW_OtherCC_Fine,0.225962834,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_CSW_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Other_Grass_Coarse,-28.66226202,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_Grass_Fine,-28.66226202,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_Grass_Medium,-28.66226202,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_Legume_Coarse,-15.19340901,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Other_Legume_Fine,-23.37973149,-6.011706935,5.518510584,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Other_Legume_Medium,36.90835233,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Other_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Other_OtherCC_Coarse,-3.746974657,-4.211980293,61.89013417,15.87765832,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Other_OtherCC_Fine,-3.720928868,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Other_OtherCC_Medium,-3.720928868,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Soybean_Grass_Coarse,-48.67945928,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_Grass_Fine,-48.67945928,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_Grass_Medium,-48.67945928,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_Legume_Coarse,24.79495752,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Soybean_Legume_Fine,24.79495752,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Soybean_Legume_Medium,24.79495752,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Soybean_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Soybean_OtherCC_Coarse,0.225962834,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Soybean_OtherCC_Fine,0.225962834,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Soybean_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Vegetable_Grass_Coarse,-45.36755067,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_Grass_Fine,-45.06837742,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_Grass_Medium,-45.06837742,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_Legume_Coarse,63.47226786,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Vegetable_Legume_Fine,6.421572383,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Vegetable_Legume_Medium,22.20448911,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Vegetable_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Vegetable_OtherCC_Coarse,0.225962834,-4.211980293,37.33240524,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Vegetable_OtherCC_Fine,0.225962834,-5.286237158,24.3652817,20.42249853,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Vegetable_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
Tropical_Wheat_Grass_Coarse,-48.67945928,2.285398613,16.88214695,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_Grass_Fine,-48.67945928,-0.994940697,6.56515776,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_Grass_Medium,-48.67945928,-0.94425799,10.26743293,24.21099165,13.40229641,52.40083205,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_Legume_Coarse,24.79495752,2.060943482,22.29467653,52.07602313,13.40229641,96.95362943,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Wheat_Legume_Fine,24.79495752,-6.011706935,-1.624783027,8.427360983,13.40229641,62.14469045,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Wheat_Legume_Medium,24.79495752,-0.94425799,8.569843725,11.28120954,13.40229641,82.48412635,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.38025513,47.42251948,26.16028287
Tropical_Wheat_MTT_Coarse,20.53136855,1.648464456,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_MTT_Fine,20.53136855,1.255385105,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_MTT_Medium,20.53136855,-0.94425799,8.483874584,12.8236301,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.42251948,26.16028287
Tropical_Wheat_OtherCC_Coarse,0.225962834,-4.211980293,44.66077925,19.72925941,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,51.61933548,26.16028287
Tropical_Wheat_OtherCC_Fine,0.225962834,-5.531941512,22.03337614,18.83508449,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,28.93591713,26.16028287
Tropical_Wheat_OtherCC_Medium,0.225962834,-0.94425799,31.45487634,22.23984291,13.40229641,65.18558067,133.1720878,-75.21525722,-73.2866181,-24.52566912,-52.26776861,47.69680651,26.16028287
